Start time: 2, Finish time: 7
Start time: 12, Finish time: 14
Start time: 15, Finish time: 21
Start time: 22, Finish time: 24
Start time: 25, Finish time: 26
Start time: 27, Finish time: 28
Start time: 29, Finish time: 31
Start time: 33, Finish time: 34
Start time: 37, Finish time: 39
Start time: 40, Finish time: 41
Start time: 43, Finish time: 44
Start time: 54, Finish time: 55
Start time: 57, Finish time: 58
Start time: 63, Finish time: 66
Start time: 71, Finish time: 73
Start time: 73, Finish time: 75
Start time: 75, Finish time: 76
Start time: 77, Finish time: 80
Start time: 81, Finish time: 84
Start time: 85, Finish time: 86
Start time: 86, Finish time: 93
Start time: 95, Finish time: 96
Start time: 96, Finish time: 97
Start time: 100, Finish time: 101
Start time: 101, Finish time: 107
Start time: 112, Finish time: 113
Start time: 116, Finish time: 122
Start time: 128, Finish time: 129
Start time: 130, Finish time: 135
Start time: 135, Finish time: 139
Start time: 139, Finish time: 140
Start time: 143, Finish time: 145
Start time: 145, Finish time: 147
Start time: 148, Finish time: 154
Start time: 158, Finish time: 160
Start time: 166, Finish time: 168
Start time: 168, Finish time: 172
Start time: 173, Finish time: 174
Start time: 175, Finish time: 176
Start time: 180, Finish time: 181
Start time: 181, Finish time: 185
Start time: 185, Finish time: 186
Start time: 186, Finish time: 189
Start time: 189, Finish time: 190
Start time: 190, Finish time: 192
Start time: 195, Finish time: 198
Start time: 201, Finish time: 202
Start time: 202, Finish time: 205
Start time: 210, Finish time: 213
Start time: 214, Finish time: 216
Start time: 216, Finish time: 218
Start time: 223, Finish time: 224
Start time: 224, Finish time: 225
Start time: 227, Finish time: 229
Start time: 229, Finish time: 231
Start time: 231, Finish time: 232
Start time: 235, Finish time: 236
Start time: 236, Finish time: 241
Start time: 242, Finish time: 244
Start time: 244, Finish time: 247
Start time: 250, Finish time: 258
Start time: 261, Finish time: 262
Start time: 262, Finish time: 264
Start time: 265, Finish time: 270
Start time: 272, Finish time: 276
Start time: 276, Finish time: 279
Start time: 279, Finish time: 280
Start time: 281, Finish time: 283
